,year,CO2
156,21669.935684647302,185.9121778851328
157,21807.967323651454,185.75306360386
158,21945.9989626556,184.95715123321563
159,22084.030601659753,184.80806266990987
160,22222.0622406639,185.62401324530384
161,22360.09387966805,186.43996382069784
162,22498.1255186722,187.2559143960918
163,22636.15715767635,188.0718649714858
164,22774.1887966805,188.8878155468798
165,22912.22043568465,189.2645813216429
166,23050.252074688797,189.3691837635785
167,23188.28371369295,189.47378620551407
168,23326.315352697096,189.57838864744963
169,23464.346991701244,189.6829910893852
170,23602.378630705396,189.7875935313208
171,23740.410269709544,189.89219597325635
172,23878.441908713692,189.99679841519193
173,24016.473547717844,190.1014008571275
174,24154.50518672199,190.20600329906307
175,24292.536825726143,190.31060574099865
176,24430.56846473029,190.4152081829342
177,24568.60010373444,190.5198106248698
