Gasage (yr BP),CO2 (ppmv)
266321.6,-6.5
266513.9,-6.200000000000017
266702.0,-6.400000000000006
266894.4,-7.0
267097.9,-7.099999999999994
267304.9,-7.900000000000006
267525.9,-7.700000000000017
267743.8,-7.099999999999994
267950.9,-6.599999999999994
268149.2,-7.300000000000011
268359.2,-7.599999999999994
268576.0,-7.700000000000017
268795.4,-7.800000000000011
269017.5,-7.200000000000017
269227.3,-7.400000000000006
269441.0,-7.400000000000006
269654.4,-7.5
269869.3,-7.5
270085.2,-7.800000000000011
270307.5,-7.599999999999994
270525.9,-7.900000000000006
270750.7,-8.099999999999994
270978.9,-7.5
271195.5,-8.200000000000017
271426.7,-7.5
271643.2,-7.400000000000006
271858.0,-7.900000000000006
272084.2,-8.5
272323.5,-8.099999999999994
272554.6,-8.099999999999994
272784.5,-8.300000000000011
273020.4,-8.300000000000011
273256.0,-8.200000000000017
273489.8,-8.400000000000006
273727.0,-8.099999999999994
273957.5,-8.300000000000011
274193.5,-8.300000000000011
274429.7,-8.0
274659.3,-8.200000000000017
274892.9,-8.099999999999994
275124.4,-8.099999999999994
275357.4,-8.099999999999994
275588.9,-7.599999999999994
275811.3,-8.0
276041.2,-7.599999999999994
276264.2,-8.0
276494.7,-8.099999999999994
276727.3,-7.400000000000006
276943.8,-7.0
277153.6,-7.200000000000017
277368.4,-7.700000000000017
277592.8,-8.099999999999994
277826.2,-7.5
278047.8,-8.099999999999994
278281.0,-8.5
278524.6,-7.400000000000006
278743.0,-6.900000000000006
278952.5,-6.900000000000006
279162.2,-7.400000000000006
279382.2,-7.599999999999994
279607.1,-8.5
279849.0,-7.099999999999994
280064.4,-7.200000000000017
280281.9,-7.800000000000011
280510.2,-7.300000000000011
280730.1,-7.200000000000017
280947.3,-6.5
281151.2,-6.0
281345.4,-5.800000000000011
281534.0,-4.599999999999994
281705.8,-5.800000000000011
281895.9,-6.300000000000011
282095.4,-5.700000000000017
282285.0,-6.099999999999994
282480.8,-7.099999999999994
282695.7,-6.599999999999994
282902.3,-5.800000000000011
283095.4,-6.0
283290.3,-6.0
283485.4,-5.599999999999994
283674.1,-5.800000000000011
283866.1,-5.400000000000006
284052.1,-5.599999999999994
284239.9,-5.200000000000017
284422.2,-5.200000000000017
284604.7,-5.099999999999994
284785.2,-4.900000000000006
284963.3,-5.5
285149.9,-5.200000000000017
285333.2,-5.0
285511.9,-4.900000000000006
285690.2,-5.099999999999994
285871.2,-5.0
286051.2,-4.900000000000006
286229.7,-5.900000000000006
286425.9,-4.5
286599.0,-4.900000000000006
286777.8,-4.700000000000017
286954.4,-5.0
287135.3,-4.400000000000006
287306.4,-4.5
287478.7,-4.099999999999994
287645.6,-4.300000000000011
287815.0,-4.800000000000011
287992.6,-4.099999999999994
288160.1,-4.599999999999994
288334.1,-4.599999999999994
288509.2,-4.200000000000017
288679.1,-4.099999999999994
288847.1,-4.099999999999994
289014.2,-3.8000000000000114
289177.3,-3.200000000000017
289331.9,-3.5
289491.4,-4.200000000000017
289661.4,-4.300000000000011
289833.2,-3.5
289994.3,-4.5
290167.9,-3.5999999999999943
290329.8,-4.0
290497.8,-4.0
290665.6,-3.700000000000017
290828.6,-3.200000000000017
290984.6,-2.700000000000017
291133.6,-3.0
291286.8,-3.0
291440.8,-3.5
291601.8,-3.700000000000017
291766.2,-3.3000000000000114
291924.7,-3.5
292086.8,-3.5999999999999943
292251.3,-4.400000000000006
292428.6,-4.800000000000011
292614.3,-4.900000000000006
292801.7,-4.5
292983.0,-4.800000000000011
293169.6,-5.300000000000011
293364.9,-5.800000000000011
293569.9,-5.400000000000006
293768.2,-5.599999999999994
293970.3,-5.200000000000017
294166.8,-6.099999999999994
