Gasage (yr BP),CO2 (ppmv)
33907.49999999999,194.46060405395
33925.899999999994,194.47027317217498
33957.0,196.47191999325
33991.5,195.41091567172498
34064.200000000004,195.93175875274997
34190.299999999996,194.8874767012333
34250.799999999996,195.7913334535
34312.8,196.266613322
34334.4,196.20185201500001
34556.9,199.6474818549
34602.6,199.48892963999998
34620.0,200.2924224414
34647.8,198.89171239745002
34710.6,197.16130487224999
34825.6,202.795646976
34866.799999999996,203.0917776366
35089.6,198.7828307793
35165.799999999996,203.60050857025
35281.7,205.3761847385
35337.0,204.46706210535
35359.4,203.6185257355
35383.0,201.35769286432503
35445.799999999996,200.29875552115
35497.09999999999,201.06305549865002
35508.5,202.04126672700002
35530.7,201.88660042935
35567.99999999999,201.8276293501
35672.50000000001,201.81310262977502
35701.600000000006,200.5019756069
35854.6,203.28865874520002
35948.3,198.799944457875
36086.5,204.123014498
36173.100000000006,201.7797825328
36261.799999999996,200.09164615275
36506.3,198.9617645275
36591.8,205.10239260525
36669.6,203.76951759
36712.799999999996,203.7543230524
36820.2,202.76033458287498
36939.8,203.514345808
37023.4,206.3568576216
37118.600000000006,210.157174784
37143.200000000004,207.34584681975
37296.5,208.25190909
37302.0,209.65639176
37338.1,206.586570978
37431.0,212.50552869749998
37461.299999999996,209.83667782650002
37618.600000000006,214.29589900083332
37647.5,212.135905967
37777.2,212.09241359079002
37895.0,214.2064208262
38000.3,211.213425214
38088.5,214.36039257750002
38165.59999999999,208.335059710425
38192.399999999994,206.5229252229
38284.200000000004,207.41115700100002
38359.2,207.99977968
38412.8,210.7947524055
38472.9,207.2301825856
38533.2,210.07869060075
38573.6,208.23327262075
38621.8,204.79190564040002
38670.8,204.455553872625
38723.399999999994,206.543994036
38812.6,206.085787558
38874.700000000004,205.650989878
38955.6,205.98808959113333
38976.8,202.3448524395
39053.6,204.28298891580002
39120.50000000001,207.32358522299998
39265.7,208.685091262475
39303.200000000004,209.495641888
39319.9,209.326456305
39339.8,207.868080375675
39379.4,204.77737582487998
39402.9,191.53156337775
39454.4,198.138503631
39515.399999999994,200.402973875925
39621.00000000001,195.70159247466665
39709.2,196.6742707386
39757.100000000006,193.581354240625
39884.99999999999,193.873098888
39900.5,197.55250733926664
40042.7,192.59565555449998
40112.1,193.08131430805
40145.3,193.690311850125
40308.4,197.90454896091208
40485.94648,201.32268604261674
40553.43999999997,201.48445246633034
40754.3,200.46615960740988
40907.388600000006,200.96619797440226
41167.90404000001,201.53203042679758
41303.5942,204.18539759772148
41605.9736,205.49006636725477
41759.207500000004,201.12434903906262
41900.68680000001,199.89056576724948
42315.817500000005,200.8960917386434
42628.3001,204.82674347655342
42849.867,206.35415471090323
42968.078199999996,204.26047843855292
43171.885,203.16207190191966
43350.662500000006,201.66462398159248
43515.82055000001,204.2219503591491
43661.157549999996,203.18091908152513
43809.01,201.68967291161366
44095.19614999999,204.30591912829976
44204.44639999999,201.99679013111552
44350.46499999999,206.22156348649375
44490.50250000001,204.82615482707928
44655.53499999998,212.28537276723182
44816.0105,210.4383494018988
44996.156999999985,211.4870756888481
45142.015,207.9533487146811
45280.38750000001,213.9182293789752
45460.322400000005,214.5013713408328
45696.05500000001,217.51186974587569
45877.10855000001,222.71746789063323
46057.33380000001,221.7721744693644
46181.255,219.24687294689662
46308.5475,218.34888238109227
46635.901999999995,216.41663219437746
46746.4378,214.18284619947886
46887.935000000005,210.83763232817873
47086.27499999999,210.2720270577908
47314.97619999998,207.5966069009341
47524.35689999999,204.25993514002081
47710.390000000014,203.7878948817506
47943.751099999994,205.65965094423697
48223.18175000001,206.18208295015899
48427.859999999986,200.97514386943084
48987.952649999985,201.57862918592315
49302.98039999999,200.12004323663527
49462.655249999996,204.05803785391646
49728.31500000001,203.8713291389937
50006.51000000001,204.37676012041777
50220.546899999994,206.74402693868802
50527.41474999999,207.40999031146947
51029.17010000002,207.63643592103043
51431.446599999996,211.57084710504336
51779.530000000006,215.07712976760632
52086.81984999999,213.81781717736385
52384.780900000005,219.08254103386616
52573.676,220.7236106732058
52800.742500000015,221.1479059817251
53108.25250000001,223.71721395019227
53400.45315000001,223.261990272584
53806.25204999999,221.13790909272413
54156.60319999998,220.3743647767866
54387.125000000015,217.95673832028174
54694.61249999999,213.88701388029443
55014.48765000002,216.8579026931373
55293.459149999995,208.19350573591464
55553.13,214.7766439566713
55909.53739999998,210.2748744860088
56237.12940000001,207.67411308560085
56503.58249999998,212.4366913146648
57210.94264999999,215.69652704379405
57476.264999999985,217.37632438255054
